PERFORMANCE ANALYSIS REPORT
---------------------------
                           
Each of the methods specified below have been run 1000x for each directory.
The data below shows the calculated best, worst and mean execution times in nanoseconds.
                           
Array: InsertMethod                Best execution time: 3400  Worst execution time: 2242300   Mean execution time: 6217      
ArrayList: InsertMethod            Best execution time: 500   Worst execution time: 1311300   Mean execution time: 2004      
HashMap: InsertMethod              Best execution time: 300   Worst execution time: 1839200   Mean execution time: 2416      
Array: LookUpMethod                Best execution time: 4500  Worst execution time: 46400     Mean execution time: 6591      
ArrayList: LookUpMethod            Best execution time: 4000  Worst execution time: 59200     Mean execution time: 5768      
HashMap :LookUpMethod              Best execution time: 7900  Worst execution time: 99700     Mean execution time: 15654     
Array: DeleteSurnameMethod         Best execution time: 6700  Worst execution time: 324700    Mean execution time: 20992     
ArrayList: DeleteSurnameMethod     Best execution time: 6000  Worst execution time: 263300    Mean execution time: 24048     
HashMap: DeleteSurnameMethod       Best execution time: 700   Worst execution time: 42700     Mean execution time: 2865      
Array: DeleteExtensionMethod       Best execution time: 9200  Worst execution time: 213700    Mean execution time: 22761     
ArrayList: DeleteExtensionMethod   Best execution time: 7800  Worst execution time: 298300    Mean execution time: 25015     
HashMap: DeleteExtensionMethod     Best execution time: 600   Worst execution time: 37000     Mean execution time: 1588      
